id,page1_id,page2_id
2205,1511,231
2166,1488,78
2233,1535,166
2293,1537,76
2338,1580,250
1012,292,64
2328,292,1177
2604,1679,257
2605,1679,78
2236,1364,432
2239,1365,223
2231,1534,1207
2350,1586,250
2337,1580,1207
969,341,63
2313,1568,226
2286,1503,76
2250,341,1064
2340,1581,250
2284,1560,76
2339,1581,1207
2344,1583,250
2241,1539,250
2240,1539,1207
2343,1583,1207
2325,1573,250
797,223,168
2639,1691,299
2290,1562,250
2289,1562,1207
2254,1548,250
2253,1548,1207
2272,447,1179
2324,1573,1207
2282,1476,69
2320,1571,76
2271,1554,250
3742,1951,250
1067,298,77
1470,404,71
1014,272,109
1013,272,60
3532,272,103
1050,277,64
2276,1557,239
2277,1557,69
2301,1498,76
1056,291,77
3592,1926,270
993,282,76
1036,355,49
2319,1571,226
2367,701,200
2274,1555,250
2273,1555,1207
3565,1920,1845
1773,250,1207
2252,1547,250
2251,1547,1207
2259,1092,69
1266,257,22
826,772,63
1041,294,67
2295,1543,76
827,772,70
2323,1572,76
1254,772,1064
3771,1597,66
1028,354,63
2322,1572,226
2327,1574,250
2299,1564,250
2298,1564,1207
2353,354,1064
2234,1536,263
3798,1977,651
2258,1552,250
2257,1552,1207
2304,1550,76
2300,1483,76
