id,file,width,height,focal_point_key,filter_id,image_id,urls
2984,images/Affenzahnkette_1831.max-165x165.jpg,165,57,,1,809,
2985,images/Affenzahnkette_1831.width-480.jpg,480,166,,4,809,
2986,images/Affenzahnkette_1831.original.jpg,508,176,,5,809,
2987,images/Spule_des_Stellarator.max-165x165.jpg,165,57,,1,810,
2988,images/Spule_des_Stellarator.width-480.jpg,480,166,,4,810,
2989,images/Spule_des_Stellarator.original.jpg,508,176,,5,810,
2990,images/design-as-research.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,58,
2991,images/Labi.max-800x600.jpg,800,533,,6,545,
2992,images/Lissajou_Figur_SoSe2016.max-165x165.jpg,165,165,,1,811,
2993,images/Lissajou_Figur_SoSe2016.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,811,
2994,images/Lissajou_Figur_SoSe2016.width-480.jpg,480,480,,4,811,
2995,images/Lissajou_Figur_SoSe2016.original.jpg,567,567,,5,811,
2997,images/Plakat_Grebel_A3.max-165x165.jpg,116,165,,1,813,
2998,images/plakat_VICSEK_A2.max-165x165.jpg,116,165,,1,814,
3001,images/Plakat_Grebel_A3.2e16d0ba.fill-960x480.jpg,960,480,2e16d0ba,13,813,
3002,images/Plakat_Grebel_A3.original.jpg,1753,2480,,5,813,
3003,images/plakat_VICSEK_A2.2e16d0ba.fill-960x480.jpg,960,480,2e16d0ba,13,814,
3004,images/plakat_VICSEK_A2.original.jpg,2480,3507,,5,814,
3006,images/Plakat_Grebel_A3.2e16d0ba.fill-180x135.jpg,180,135,2e16d0ba,12,813,
3007,images/plakat_VICSEK_A2.2e16d0ba.fill-180x135.jpg,180,135,2e16d0ba,12,814,
3009,images/Plakat_Grebel_A3.width-480.jpg,480,679,,4,813,
3010,images/plakat_VICSEK_A2.width-480.jpg,480,678,,4,814,
3011,images/Laura_Heinz_Website.max-165x165.jpg,165,165,,1,815,
3012,images/Laura_Heinz_Website.width-480.jpg,200,200,,4,815,
3013,images/Laura_Heinz_Website.2e16d0ba.fill-210x210.jpg,200,200,2e16d0ba,8,815,
3014,images/Yumi_Ko_Website.max-165x165.jpg,165,165,,1,816,
3015,images/Yumi_Ko_Website.width-480.jpg,200,200,,4,816,
3016,images/Yumi_Ko_Website.2e16d0ba.fill-210x210.jpg,200,200,2e16d0ba,8,816,
3017,images/Claudia_Godau_Website.width-480.jpg,200,200,,4,190,
3018,images/Kirchhof.max-165x165.jpg,154,135,,1,817,
3019,images/Indien.max-165x165.jpg,154,154,,1,818,
3020,images/Schnecke.max-165x165.jpg,154,154,,1,819,
3021,images/Kirchhof.width-480.jpg,154,135,,4,817,
3022,images/Kirchhof.original.jpg,154,135,,5,817,
3023,images/Indien.2e16d0ba.fill-960x480.jpg,154,78,2e16d0ba,13,818,
3024,images/Indien.original.jpg,154,154,,5,818,
3025,images/Schnecke.2e16d0ba.fill-960x480.jpg,154,78,2e16d0ba,13,819,
3026,images/Schnecke.original.jpg,154,154,,5,819,
3027,images/Indien.2e16d0ba.fill-180x135.jpg,154,116,2e16d0ba,12,818,
3028,images/Schnecke.2e16d0ba.fill-180x135.jpg,154,116,2e16d0ba,12,819,
3029,images/Katzenhai.max-165x165.jpg,165,57,,1,820,
3030,images/Katzenhai.width-480.jpg,480,166,,4,820,
3031,images/Katzenhai.original.jpg,508,176,,5,820,
3032,images/Anita_Hermannstaedter_web.width-480.jpg,200,200,,4,294,
3033,images/ausstellungen-2009-geymueller-plan1_0.max-165x165.jpg,163,125,,1,821,
3034,images/Geymueller_SchemaRenaissanceFrankreich_Entwu.max-165x165.jpg,162,125,,1,822,
3035,images/Geymueller_StPeter_BramanteEntwurf_Rekonstru.max-165x165.jpg,145,125,,1,823,
3036,images/ausstellungen-2009-geymueller-plan1_0.width-480.jpg,163,125,,4,821,
3037,images/ausstellungen-2009-geymueller-plan1_0.original.jpg,163,125,,5,821,
3038,images/Geymueller_SchemaRenaissanceFrankr.2e16d0ba.fill-960x480.jpg,162,81,2e16d0ba,13,822,
3039,images/Geymueller_SchemaRenaissanceFrankreich_EntwurfF.original.jpg,162,125,,5,822,
3040,images/Geymueller_StPeter_BramanteEntwurf.2e16d0ba.fill-960x480.jpg,145,73,2e16d0ba,13,823,
3041,images/Geymueller_StPeter_BramanteEntwurf_Rekonstrukti.original.jpg,145,125,,5,823,
3042,images/Geymueller_SchemaRenaissanceFrankr.2e16d0ba.fill-180x135.jpg,162,123,2e16d0ba,12,822,
3043,images/Geymueller_StPeter_BramanteEntwurf.2e16d0ba.fill-180x135.jpg,145,109,2e16d0ba,12,823,
3044,images/MassZahlGewicht01.max-165x165.jpg,165,118,,1,824,
3045,images/MassZahlGewicht02.max-165x165.jpg,81,125,,1,825,
3046,images/Cockerell_nachbearb.max-165x165.jpg,97,125,,1,826,
3047,images/MassZahlGewicht01.width-480.jpg,480,346,,4,824,
3048,images/MassZahlGewicht01.original.jpg,803,579,,5,824,
3049,images/MassZahlGewicht02.2e16d0ba.fill-960x480.jpg,81,41,2e16d0ba,13,825,
3050,images/MassZahlGewicht02.original.jpg,81,125,,5,825,
3051,images/Cockerell_nachbearb.2e16d0ba.fill-960x480.jpg,97,49,2e16d0ba,13,826,
3052,images/Cockerell_nachbearb.original.jpg,97,125,,5,826,
3053,images/MassZahlGewicht02.2e16d0ba.fill-180x135.jpg,81,61,2e16d0ba,12,825,
3054,images/Cockerell_nachbearb.2e16d0ba.fill-180x135.jpg,97,73,2e16d0ba,12,826,
3055,images/ABC1.max-165x165.jpg,165,102,,1,827,
3056,images/ABC3.max-165x165.jpg,165,102,,1,828,
3057,images/ABC4.max-165x165.jpg,165,102,,1,829,
3058,images/ABC1.width-480.jpg,201,125,,4,827,
3059,images/ABC1.original.jpg,201,125,,5,827,
3060,images/ABC3.2e16d0ba.fill-960x480.jpg,201,101,2e16d0ba,13,828,
3061,images/ABC3.original.jpg,201,125,,5,828,
3062,images/ABC4.2e16d0ba.fill-960x480.jpg,201,101,2e16d0ba,13,829,
3063,images/ABC4.original.jpg,201,125,,5,829,
3064,images/ABC3.2e16d0ba.fill-180x135.jpg,167,125,2e16d0ba,12,828,
3065,images/ABC4.2e16d0ba.fill-180x135.jpg,167,125,2e16d0ba,12,829,
3066,images/TAT_075.max-165x165.jpg,165,95,,1,830,
3067,images/TAT_075.width-480.jpg,480,276,,4,830,
3068,images/TAT_075.original.jpg,508,293,,5,830,
3069,images/image1.max-165x165.jpg,165,165,,1,831,
3070,images/image1.width-480.jpg,480,480,,4,831,
3071,images/image1.2e16d0ba.fill-210x210.jpg,210,210,2e16d0ba,8,831,
3072,images/atom_1.max-165x165.jpg,133,125,,1,832,
3073,images/Atom_2.max-165x165.jpg,125,125,,1,833,
3074,images/ABC4_s924Dqa.max-165x165.jpg,165,102,,1,834,
3075,images/atom_1.width-480.jpg,133,125,,4,832,
3076,images/atom_1.original.jpg,133,125,,5,832,
3077,images/Atom_2.2e16d0ba.fill-960x480.jpg,125,63,2e16d0ba,13,833,
3078,images/Atom_2.original.jpg,125,125,,5,833,
3079,images/ABC4_s924Dqa.2e16d0ba.fill-960x480.jpg,201,101,2e16d0ba,13,834,
3080,images/ABC4_s924Dqa.original.jpg,201,125,,5,834,
3081,images/Atom_2.2e16d0ba.fill-180x135.jpg,125,95,2e16d0ba,12,833,
3082,images/ABC4_s924Dqa.2e16d0ba.fill-180x135.jpg,167,125,2e16d0ba,12,834,
3083,images/Walk_the_lab_May_2015027.max-165x165.jpg,165,123,,1,835,
3084,images/Walk_the_lab_May_2015027.width-480.jpg,480,360,,4,835,
3085,images/Walk_the_lab_May_2015027.original.jpg,4608,3456,,5,835,
3086,images/Walk_the_lab_May_2015027.2e16d0ba.fill-900x500.jpg,900,500,2e16d0ba,2,835,
3087,images/Walk_the_lab_May_2015027.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,835,
3088,images/Bildschirmfoto_2016-06-30_um_15.14.41.max-165x165.png,165,91,,1,836,
3089,images/Bildschirmfoto_2016-06-30_um_15.14.41.width-480.png,480,265,,4,836,
3090,images/Bildschirmfoto_2016-06-30_um_15.14.41.original.png,776,429,,5,836,
3091,images/Bildschirmfoto_2016-06-30_um_1.2e16d0ba.fill-450x360-c80.png,450,360,2e16d0ba,16,836,
3092,images/Bildschirmfoto_2016-06-30_um_15.19.14.max-165x165.png,165,90,,1,837,
3093,images/Bildschirmfoto_2016-06-30_um_15.19.14.width-480.png,480,264,,4,837,
3094,images/Bildschirmfoto_2016-06-30_um_15.19.14.original.png,784,432,,5,837,
3095,images/Bildschirmfoto_2016-06-30_um_15.19.14.max-800x600.png,784,432,,6,837,
3096,images/Bildschirmfoto_2016-06-30_um_15.19.2e16d0ba.fill-900x500.png,778,432,2e16d0ba,2,837,
3097,images/Bildschirmfoto_2016-06-30_um_1.2e16d0ba.fill-450x360-c80_VCTu42i.png,450,360,2e16d0ba,16,837,
3098,images/Bildschirmfoto_2016-06-30_um_15.23.05.max-165x165.png,165,87,,1,838,
