id,category_id,page_id,primarylabel
2785,4,1961,f
1477,78,1164,f
2786,3,1961,f
913,20,653,t
1397,3,1189,f
1393,3,1186,f
1430,90,1368,f
1487,99,1394,t
1479,78,573,f
1380,24,1354,f
1438,4,1372,f
1449,3,1376,f
1494,49,497,t
1448,4,1376,f
1456,3,1380,f
1402,61,1346,t
1374,3,1346,f
1420,4,1363,f
1421,3,1363,f
1442,90,1370,f
1435,21,1354,f
2224,4,1716,f
1443,89,1370,f
1390,42,1357,t
1455,4,1380,f
1415,3,1360,f
394,17,84,f
2201,3,1705,f
1422,62,1363,f
1469,75,545,f
1423,63,1363,t
1399,62,1307,f
2225,3,1716,f
1412,3,682,f
1408,61,1306,t
1425,3,1365,f
1377,58,690,t
1396,3,1188,f
1451,4,1378,f
1452,3,1378,f
1360,108,276,f
1742,4,1486,f
2805,3,1968,f
1463,74,591,t
1424,3,1364,f
1789,3,1505,f
1366,99,1338,t
1450,3,1377,f
1427,4,682,f
1372,3,1344,f
1395,3,1191,f
1434,3,1371,f
1428,90,1367,f
1367,3,1339,f
1741,3,1485,f
1429,89,1367,f
1315,4,1320,f
1414,61,1359,t
1413,3,1359,f
2335,4,1775,f
1762,3,1495,f
1407,61,1340,f
1368,3,1340,f
1405,61,1342,t
1370,3,1342,f
1404,61,1343,t
1371,3,1343,f
1403,61,1345,t
1373,3,1345,f
1439,3,1372,f
1381,20,1355,t
1481,107,327,f
1410,61,1358,t
1409,3,1358,f
1363,54,709,t
1418,3,1361,f
417,4,198,f
418,3,198,f
1419,3,1362,f
1462,74,590,f
2317,4,1764,f
2318,3,1764,f
1392,3,1185,f
151,35,123,f
152,29,123,f
395,20,84,f
2249,54,729,f
1004,84,283,f
2325,4,1768,f
393,3,84,f
1394,3,1187,f
1498,115,275,f
1382,24,1355,f
2336,3,1775,f
1468,74,376,t
1752,4,1490,f
1433,89,1369,f
967,33,687,f
218,23,144,f
1496,75,557,f
2326,3,1768,f
1835,3,1092,f
1345,99,1289,t
1301,4,1307,f
1300,3,1307,f
1375,58,1154,t
1400,63,1307,t
969,28,687,f
1721,3,1473,f
805,46,557,t
1432,90,1369,f
2896,149,592,f
1376,59,1154,f
1475,77,589,f
1426,3,1366,f
2872,4,1998,f
2873,3,1998,f
1167,9,1179,t
1379,20,1354,t
1474,105,562,f
1480,78,469,f
1825,3,1547,f
1564,4,1413,f
2874,4,1999,f
1572,62,857,f
1573,4,857,f
1574,3,857,f
1575,63,859,t
1576,4,859,f
1577,3,859,f
1578,4,860,f
1579,3,860,f
1580,62,860,f
2875,3,1999,f
2787,4,914,f
2788,3,914,f
2982,4,2047,f
1504,36,1397,t
1503,33,1397,f
1505,28,1397,f
1506,31,1397,f
1501,15,1396,f
1502,16,1396,t
1547,4,670,f
1655,92,1434,f
1548,3,670,f
776,48,528,t
1510,31,1398,f
1509,28,1398,f
1508,33,1398,f
1507,36,1398,t
690,50,442,t
1514,31,1400,t
1513,28,1400,f
1512,36,1400,f
1511,33,1400,f
1634,63,1420,t
1517,33,1401,f
1518,36,1401,t
1519,28,1401,f
1520,31,1401,f
1521,33,1403,f
1522,36,1403,t
1523,28,1403,f
1524,31,1403,f
1516,31,1404,f
1515,36,1404,t
1528,28,1406,f
1527,36,1406,t
1526,31,1406,f
1525,33,1406,f
1638,30,1423,f
1639,29,1423,f
1543,4,665,f
1544,3,665,f
686,50,438,f
2226,4,1717,f
2227,3,1717,f
1536,30,1409,t
1535,35,1409,f
773,48,525,t
2897,4,2010,f
2898,3,2010,f
1596,63,1414,t
1595,62,1414,f
1194,97,1207,f
917,62,655,t
1649,47,1428,t
1594,3,1414,f
1593,4,1414,f
